Source,Target
LattesID_570158235359111,LattesID_95550072802463
LattesID_2086688567232344,LattesID_95510023252013
LattesID_2081539581791568,LattesID_95510023252013
LattesID_6430978848440663,LattesID_5349558315095
LattesID_3620259617536139,LattesID_5349558315095
LattesID_8119969088923554,LattesID_5349558315095
LattesID_2376560958062344,LattesID_5349558315095
LattesID_5074588039583782,LattesID_5349558315095
LattesID_1140997384890195,LattesID_5349558315095
LattesID_3608893947720844,LattesID_5349558315095
LattesID_257828054135501,LattesID_5349558315095
LattesID_311224988123909,LattesID_5349558315095
LattesID_465071050875729,LattesID_5349558315095
LattesID_6625835762892250,LattesID_5349558315095
LattesID_4304915270065653,LattesID_84300900034108
LattesID_319800678858096,LattesID_84300900034108
LattesID_5914807869077025,LattesID_84300900034108
LattesID_5753665835402834,LattesID_84300900034108
LattesID_4333170121128372,LattesID_84300900034108
LattesID_451529934335618,LattesID_84300900034108
LattesID_4760312081508645,LattesID_84300900034108
LattesID_9924454852039192,LattesID_84300900034108
LattesID_1654484303287245,LattesID_84300900034108
LattesID_902980235660943,LattesID_84300900034108
LattesID_8338341507306803,LattesID_84300900034108
LattesID_9816095450288952,LattesID_84300900034108
LattesID_4226060363182113,LattesID_84300900034108
LattesID_4516990772571386,LattesID_84300900034108
LattesID_2312248093380807,LattesID_84300900034108
LattesID_2765275360204809,LattesID_84300900034108
LattesID_4200668781856665,LattesID_84300900034108
LattesID_7880134393452606,LattesID_84300900034108
LattesID_6427676588067930,LattesID_84300900034108
LattesID_266043277510432,LattesID_84300900034108
LattesID_6448735717358288,LattesID_29507073767618
LattesID_5680011072638164,LattesID_29507073767618
LattesID_6498916255885183,LattesID_29507073767618
LattesID_6811054828681415,LattesID_29507073767618
LattesID_7667084064429678,LattesID_29507073767618
LattesID_6992895477852511,LattesID_29507073767618
LattesID_1466150159477150,LattesID_29507073767618
LattesID_6048232204815360,LattesID_38104776869625
LattesID_7333486376097402,LattesID_38104776869625
LattesID_2031319204337,LattesID_38104776869625
LattesID_7414703256346998,LattesID_38104776869625
LattesID_4373549799112507,LattesID_38104776869625
LattesID_9372455368047636,LattesID_38104776869625
LattesID_4095677033006406,LattesID_38104776869625
LattesID_4220455286370277,LattesID_38104776869625
LattesID_7989397020978806,LattesID_38104776869625
LattesID_9769327696987492,LattesID_38104776869625
LattesID_8412803573181710,LattesID_38104776869625
LattesID_4639839369612142,LattesID_38104776869625
LattesID_6203401436282812,LattesID_38104776869625
LattesID_9608939236959822,LattesID_38104776869625
LattesID_8861439240688323,LattesID_38104776869625
LattesID_6373184610610585,LattesID_34196977785631
LattesID_8151400881299224,LattesID_34196977785631
LattesID_3965922973678637,LattesID_34196977785631
LattesID_1192338650425421,LattesID_34196977785631
LattesID_6707421934793017,LattesID_34196977785631
LattesID_7276337684253706,LattesID_34196977785631
LattesID_22639384021305,LattesID_34196977785631
LattesID_9774310891454372,LattesID_66122004538764
LattesID_9400445918179772,LattesID_66122004538764
LattesID_1542876666875683,LattesID_67454249660429
LattesID_8499649733995632,LattesID_67454249660429
LattesID_4674207086126120,LattesID_67454249660429
LattesID_483470904032169,LattesID_67454249660429
LattesID_8691511665496082,LattesID_67454249660429
LattesID_9705766661268128,LattesID_67454249660429
LattesID_8156871829215203,LattesID_67454249660429
LattesID_4481164235616745,LattesID_67454249660429
LattesID_3734588405818556,LattesID_65931835203045
LattesID_2170205467784988,LattesID_65931835203045
LattesID_4613476711431079,LattesID_65931835203045
LattesID_3053601995925847,LattesID_65931835203045
LattesID_7507869301297437,LattesID_65931835203045
LattesID_785568978953451,LattesID_65931835203045
LattesID_3870221975094721,LattesID_65931835203045
LattesID_2931453554659258,LattesID_98763826166873
LattesID_2688456598026490,LattesID_98763826166873
LattesID_4646527320555064,LattesID_98763826166873
LattesID_8852610569917469,LattesID_98763826166873
LattesID_3535184271700745,LattesID_98763826166873
LattesID_1992640052129380,LattesID_98763826166873
LattesID_5512139880539951,LattesID_98763826166873
LattesID_1400171371898343,LattesID_98763826166873
LattesID_2017422075460987,LattesID_98763826166873
LattesID_5056637736808354,LattesID_98763826166873
LattesID_5994197283949241,LattesID_98763826166873
LattesID_417414105684953,LattesID_98763826166873
LattesID_1918465874040847,LattesID_98763826166873
LattesID_4125760265130718,LattesID_98763826166873
LattesID_9705539835047192,LattesID_98763826166873
LattesID_4064500670277703,LattesID_98763826166873
LattesID_7309983834512162,LattesID_98763826166873
LattesID_82836076429162,LattesID_98763826166873
LattesID_3797894514060885,LattesID_98763826166873
LattesID_8418608343141674,LattesID_98763826166873
LattesID_887645914260006,LattesID_98763826166873
LattesID_681073982051406,LattesID_98763826166873
LattesID_922819436222299,LattesID_98763826166873
LattesID_4900690692351277,LattesID_98763826166873
LattesID_8298653809157179,LattesID_98763826166873
LattesID_8260731461464525,LattesID_98763826166873
LattesID_3991333521176027,LattesID_98763826166873
LattesID_2118627944601814,LattesID_98763826166873
LattesID_3455380596935328,LattesID_98763826166873
LattesID_273606413388045,LattesID_48768285060606
LattesID_4357474385703284,LattesID_48768285060606
LattesID_9918649330736016,LattesID_48768285060606
LattesID_9104949351063952,LattesID_48768285060606
LattesID_3255557626336482,LattesID_48768285060606
LattesID_3561046070545673,LattesID_48768285060606
LattesID_4987455241091160,LattesID_48768285060606
LattesID_2942849687529951,LattesID_48768285060606
LattesID_5819190466904655,LattesID_48768285060606
LattesID_8008758962351941,LattesID_48768285060606
LattesID_2849234838420173,LattesID_48768285060606
LattesID_6971822929715664,LattesID_48768285060606
LattesID_367733914260445,LattesID_48768285060606
LattesID_1034384160736943,LattesID_12345068871250
LattesID_9367653567640544,LattesID_12345068871250
LattesID_3280795824892034,LattesID_12345068871250
LattesID_4140331899080953,LattesID_12345068871250
LattesID_6759587344716114,LattesID_12345068871250
LattesID_9349420436778272,LattesID_12345068871250
LattesID_3481459249217687,LattesID_12345068871250
LattesID_5052910988468793,LattesID_12345068871250
LattesID_8508876681369682,LattesID_12345068871250
LattesID_2562102985837240,LattesID_12345068871250
LattesID_9328605955580308,LattesID_12345068871250
LattesID_5016464488525442,LattesID_12345068871250
LattesID_1027138840914073,LattesID_12345068871250
LattesID_8814961600298635,LattesID_12345068871250
LattesID_2703072561903681,LattesID_12345068871250
LattesID_5198305860210361,LattesID_129101355582907
LattesID_4344221273398864,LattesID_129101355582907
LattesID_9889750572784404,LattesID_129101355582907
LattesID_4818290097299367,LattesID_129101355582907
LattesID_7455079327082550,LattesID_129101355582907
LattesID_7947411233224131,LattesID_129101355582907
LattesID_2080460301005102,LattesID_129101355582907
LattesID_8700332206298165,LattesID_129101355582907
LattesID_1137126610205243,LattesID_129101355582907
LattesID_336882895727468,LattesID_152834093913136
LattesID_8729564847173678,LattesID_152834093913136
LattesID_9456505192458556,LattesID_152834093913136
LattesID_9337191665465664,LattesID_152834093913136
LattesID_1529389250066392,LattesID_152834093913136
LattesID_5656327871209096,LattesID_152834093913136
LattesID_5556708354082121,LattesID_152834093913136
LattesID_9391167818186288,LattesID_152834093913136
LattesID_4987082018207211,LattesID_152834093913136
LattesID_3599895833342287,LattesID_152834093913136
LattesID_7595782228443952,LattesID_152834093913136
LattesID_8895200864920918,LattesID_152834093913136
LattesID_7225876472251434,LattesID_152834093913136
LattesID_235276091529124,LattesID_152834093913136
LattesID_9021313519576384,LattesID_152834093913136
LattesID_3462331001307278,LattesID_152834093913136
LattesID_1953723388717390,LattesID_152834093913136
LattesID_3284947356798100,LattesID_152834093913136
LattesID_6742187277587463,LattesID_152834093913136
LattesID_2740441033907310,LattesID_186235312517918
LattesID_2945180266108059,LattesID_186235312517918
LattesID_4736572838801471,LattesID_186235312517918
LattesID_4609660221170758,LattesID_186235312517918
LattesID_6624541069901281,LattesID_186235312517918
LattesID_5466497041142931,LattesID_186235312517918
LattesID_8280638970696482,LattesID_125818896954714
LattesID_4360846608547465,LattesID_125818896954714
LattesID_4605301461176349,LattesID_125818896954714
LattesID_2097264664222196,LattesID_157360718680640
LattesID_8826863949761699,LattesID_157360718680640
LattesID_3794692820250661,LattesID_157360718680640
LattesID_1741783194472354,LattesID_157360718680640
LattesID_4870004024789902,LattesID_157360718680640
LattesID_1250867663517159,LattesID_157360718680640
LattesID_9589186625752008,LattesID_157360718680640
LattesID_5882877274227409,LattesID_157360718680640
LattesID_9552129564399120,LattesID_120462063853093
LattesID_7200642995297729,LattesID_120462063853093
LattesID_3367302319461330,LattesID_120462063853093
LattesID_2306829623633700,LattesID_120462063853093
LattesID_8111482623373082,LattesID_119459843172158
LattesID_5478430422250462,LattesID_119459843172158
LattesID_8559150392467411,LattesID_119459843172158
LattesID_5949190267189565,LattesID_119459843172158
LattesID_1769511720203761,LattesID_119459843172158
LattesID_7764259432239018,LattesID_119459843172158
LattesID_8699120804322598,LattesID_119459843172158
LattesID_4257917767685033,LattesID_119459843172158
LattesID_355677542334947,LattesID_119459843172158
LattesID_4642164882205552,LattesID_119459843172158
LattesID_5487682349072261,LattesID_119459843172158
LattesID_5243382607642974,LattesID_119459843172158
LattesID_5956052277616519,LattesID_119459843172158
LattesID_5826094743653888,LattesID_119459843172158
LattesID_4580342686281533,LattesID_119459843172158
LattesID_4386763174325885,LattesID_119459843172158
LattesID_111191607952863,LattesID_119459843172158
LattesID_4157313923955185,LattesID_119459843172158
LattesID_2674843343497969,LattesID_119459843172158
LattesID_1344478526875095,LattesID_119459843172158
LattesID_7650577915119496,LattesID_119459843172158
LattesID_7754482694346757,LattesID_119459843172158
LattesID_8962030358882581,LattesID_184424645432858
LattesID_773260071538706,LattesID_184424645432858
LattesID_4108740039617686,LattesID_184424645432858
LattesID_1377689714071191,LattesID_184424645432858
LattesID_5736279614224192,LattesID_184424645432858
LattesID_9597793920733532,LattesID_184424645432858
LattesID_2705641374320695,LattesID_184424645432858
LattesID_4481933308380705,LattesID_184424645432858
LattesID_4096297996193303,LattesID_184424645432858
LattesID_4782762660969312,LattesID_184424645432858
LattesID_7675510673370462,LattesID_184424645432858
LattesID_7485361121340518,LattesID_184424645432858
LattesID_8590235538393734,LattesID_184424645432858
LattesID_7647268604068312,LattesID_184424645432858
LattesID_506685237213073,LattesID_184424645432858
LattesID_751186760576256,LattesID_167354254513842
LattesID_9295049424013720,LattesID_167354254513842
LattesID_3549177060541905,LattesID_167354254513842
LattesID_7264865379468938,LattesID_167354254513842
LattesID_9295059867768980,LattesID_167354254513842
LattesID_7223006274934179,LattesID_167354254513842
LattesID_6312583887091124,LattesID_167354254513842
LattesID_7545284266094677,LattesID_167354254513842
LattesID_6403520018476116,LattesID_167354254513842
LattesID_2140603659004612,LattesID_167354254513842
LattesID_5349939775309395,LattesID_167354254513842
LattesID_1635954394681468,LattesID_167354254513842
LattesID_3177343109063982,LattesID_167354254513842
LattesID_5079456085669895,LattesID_167354254513842
LattesID_7591188031928459,LattesID_167354254513842
LattesID_9759100648183156,LattesID_174551632500870
LattesID_5679462029081924,LattesID_146077522102988
LattesID_9767437717819198,LattesID_146077522102988
LattesID_4257988336665091,LattesID_146077522102988
LattesID_1660436860172725,LattesID_146077522102988
LattesID_6365889009795850,LattesID_146077522102988
LattesID_3001620466087294,LattesID_146077522102988
LattesID_3017325294907004,LattesID_146077522102988
LattesID_6345703212541652,LattesID_146077522102988
LattesID_7351100767529650,LattesID_146077522102988
LattesID_8795479121749598,LattesID_146077522102988
LattesID_2136009420802444,LattesID_146077522102988
LattesID_2967615824899800,LattesID_146077522102988
LattesID_5763813004934540,LattesID_146077522102988
LattesID_8531105272766090,LattesID_146077522102988
LattesID_1925812982762374,LattesID_146077522102988
LattesID_2803696275869287,LattesID_146077522102988
LattesID_203226068675263,LattesID_146077522102988
LattesID_8048999419906070,LattesID_146077522102988
LattesID_2009730566184979,LattesID_146077522102988
LattesID_811321195230002,LattesID_146077522102988
LattesID_3328212638040851,LattesID_146077522102988
LattesID_2274233937243548,LattesID_146077522102988
LattesID_8138299203203051,LattesID_146077522102988
LattesID_4302459462934027,LattesID_146077522102988
LattesID_365209428568893,LattesID_114117653627675
LattesID_4006653391509105,LattesID_114117653627675
LattesID_7753999053266010,LattesID_114117653627675
LattesID_9606681939665876,LattesID_114117653627675
LattesID_4511160903701578,LattesID_114117653627675
LattesID_4573212858412457,LattesID_114117653627675
LattesID_1445927628712541,LattesID_114117653627675
LattesID_7430004358984070,LattesID_114117653627675
LattesID_5769183943470374,LattesID_114117653627675
LattesID_5370422039877445,LattesID_114117653627675
LattesID_5152006124389226,LattesID_114117653627675
LattesID_9452527934103856,LattesID_114117653627675
LattesID_4860463877784688,LattesID_114117653627675
LattesID_1307519552110190,LattesID_114117653627675
LattesID_1872881624157112,LattesID_114117653627675
LattesID_3580517020446883,LattesID_114117653627675
LattesID_9976426295830852,LattesID_114117653627675
LattesID_345318120508109,LattesID_160242478566294
LattesID_1341116664153646,LattesID_160242478566294
LattesID_7460215620582011,LattesID_160242478566294
LattesID_2929605605682370,LattesID_160242478566294
LattesID_5336629012294985,LattesID_160242478566294
LattesID_5269582082473195,LattesID_160242478566294
LattesID_4947255989985989,LattesID_160242478566294
LattesID_6482042407411456,LattesID_160242478566294
LattesID_4656359237734136,LattesID_160242478566294
LattesID_7912377260790725,LattesID_160242478566294
LattesID_5009653891897899,LattesID_160242478566294
LattesID_8068730182241990,LattesID_160242478566294
LattesID_6369674499647903,LattesID_160242478566294
LattesID_1755532071134761,LattesID_160242478566294
LattesID_7570377776514608,LattesID_160242478566294
LattesID_5104683973764898,LattesID_160242478566294
LattesID_3866934434627528,LattesID_120493206155477
LattesID_9258556848605468,LattesID_120493206155477
LattesID_3415912878388175,LattesID_120493206155477
LattesID_2433592965114642,LattesID_120493206155477
LattesID_800790381059545,LattesID_120493206155477
LattesID_4660817760577451,LattesID_120493206155477
LattesID_8050752315876306,LattesID_120493206155477
LattesID_8650981813941320,LattesID_120493206155477
LattesID_1999687723598742,LattesID_120493206155477
LattesID_2185127593975332,LattesID_120493206155477
LattesID_1079455422698507,LattesID_120493206155477
LattesID_4832571257167437,LattesID_120493206155477
LattesID_4250005159671775,LattesID_120493206155477
LattesID_8292499638592264,LattesID_120493206155477
LattesID_785626223575442,LattesID_120493206155477
LattesID_8221522228434538,LattesID_120493206155477
LattesID_7969634634290242,LattesID_120493206155477
LattesID_9653612532209180,LattesID_120493206155477
LattesID_7149478008308270,LattesID_120493206155477
LattesID_1166901796631893,LattesID_120493206155477
LattesID_7563518354797030,LattesID_120493206155477
LattesID_2813361820674391,LattesID_120493206155477
LattesID_6023441911258549,LattesID_120493206155477
LattesID_8081793920641811,LattesID_120493206155477
LattesID_6182822941442184,LattesID_120493206155477
LattesID_1612557393864949,LattesID_120493206155477
LattesID_2947576205105568,LattesID_120493206155477
LattesID_5120615815365350,LattesID_120493206155477
LattesID_3620289933978702,LattesID_120493206155477
LattesID_570602597396678,LattesID_120493206155477
LattesID_2368905954013906,LattesID_114176315906978
LattesID_8241718273967646,LattesID_114176315906978
LattesID_2487159058807143,LattesID_114176315906978
LattesID_3681816206338508,LattesID_114176315906978
LattesID_3101315391901348,LattesID_114176315906978
LattesID_2842245386534547,LattesID_114176315906978
LattesID_8323829058196312,LattesID_114176315906978
LattesID_3093138322868730,LattesID_114176315906978
LattesID_638727823842804,LattesID_114176315906978
LattesID_8500850331468978,LattesID_114176315906978
LattesID_3693571479412304,LattesID_114176315906978
LattesID_886908784384304,LattesID_114176315906978
LattesID_5655255986342326,LattesID_174372765974716
LattesID_285123797003371,LattesID_174372765974716
LattesID_1500985696903311,LattesID_174372765974716
LattesID_4757349120063229,LattesID_174372765974716
LattesID_8747530576517843,LattesID_174372765974716
LattesID_8601996074791045,LattesID_174372765974716
LattesID_7421121515522158,LattesID_174372765974716
LattesID_8008904316138267,LattesID_174372765974716
LattesID_5738181035599859,LattesID_174372765974716
LattesID_7220634546294640,LattesID_174372765974716
LattesID_9436999633800764,LattesID_174372765974716
LattesID_4384041306911512,LattesID_174372765974716
LattesID_8798219118450179,LattesID_174372765974716
LattesID_3088983541041536,LattesID_174372765974716
LattesID_3731198010625969,LattesID_174372765974716
LattesID_7503057625218595,LattesID_174372765974716
LattesID_5720627060444272,LattesID_192085115595443
LattesID_2199563049107071,LattesID_192085115595443
LattesID_3081732296192003,LattesID_192085115595443
LattesID_3441720719834089,LattesID_192085115595443
LattesID_922970312299191,LattesID_192085115595443
LattesID_2959168271554057,LattesID_192085115595443
LattesID_6255886582345346,LattesID_192085115595443
LattesID_2800383969791582,LattesID_192085115595443
LattesID_98260814190525,LattesID_192085115595443
LattesID_905286355746275,LattesID_192085115595443
LattesID_5650466551648339,LattesID_192085115595443
LattesID_2450239519119988,LattesID_192085115595443
LattesID_8208603410270078,LattesID_192085115595443
LattesID_2706688962172020,LattesID_107727024654188
LattesID_6270865646361217,LattesID_162244851289477
LattesID_6708513283832697,LattesID_162244851289477
LattesID_1289529714323011,LattesID_162244851289477
LattesID_5559694190410112,LattesID_162244851289477
LattesID_3207576404287955,LattesID_162244851289477
LattesID_8527663136488387,LattesID_162244851289477
LattesID_8984364936903330,LattesID_162244851289477
LattesID_2681501442260692,LattesID_162244851289477
LattesID_1834220534365154,LattesID_162244851289477
LattesID_5198735434619403,LattesID_162244851289477
LattesID_1565168542921951,LattesID_162244851289477
LattesID_5918581653525911,LattesID_162244851289477
LattesID_9336982075162776,LattesID_162244851289477
LattesID_5936804512037599,LattesID_162244851289477
LattesID_5150073121129652,LattesID_162244851289477
LattesID_4860953805272337,LattesID_162244851289477
LattesID_226886239142027,LattesID_162244851289477
LattesID_8562429127078586,LattesID_162244851289477
LattesID_7664959166304067,LattesID_162244851289477
LattesID_5816080287581520,LattesID_162244851289477
LattesID_495081860691045,LattesID_162244851289477
LattesID_194194849641536,LattesID_162244851289477
LattesID_5929647689455816,LattesID_162244851289477
LattesID_1143218993429895,LattesID_162244851289477
LattesID_3532547243546209,LattesID_162244851289477
LattesID_2558952017425139,LattesID_162244851289477
LattesID_2740522553760606,LattesID_162244851289477
LattesID_3079738136838662,LattesID_162244851289477
LattesID_8444975783960078,LattesID_162244851289477
LattesID_7218666981997560,LattesID_162244851289477
LattesID_2782674924896868,LattesID_162244851289477
LattesID_2179717690246702,LattesID_162244851289477
LattesID_3377861683609580,LattesID_162244851289477
LattesID_9277814890785372,LattesID_162244851289477
LattesID_6011372961047638,LattesID_162244851289477
LattesID_1292471277111236,LattesID_162244851289477
LattesID_2186258561023010,LattesID_162244851289477
LattesID_8189634323341629,LattesID_162244851289477
LattesID_7528436775743603,LattesID_162244851289477
LattesID_9131995962916680,LattesID_162244851289477
LattesID_1660302572995238,LattesID_162244851289477
LattesID_3149506293482176,LattesID_162244851289477
LattesID_446977914508336,LattesID_162244851289477
LattesID_8315394281217758,LattesID_162244851289477
LattesID_276783172235661,LattesID_162244851289477
LattesID_948358753712864,LattesID_162244851289477
LattesID_6070632580336913,LattesID_162244851289477
LattesID_4362322585959784,LattesID_162244851289477
LattesID_1872748622823602,LattesID_162244851289477
LattesID_5777332037360803,LattesID_162244851289477
LattesID_2548234773290224,LattesID_162244851289477
LattesID_3957115777845545,LattesID_189095897739979
LattesID_8850724428291736,LattesID_189095897739979
LattesID_9916345689375152,LattesID_189095897739979
LattesID_1250478845786975,LattesID_189095897739979
LattesID_9752134154319,LattesID_189095897739979
LattesID_3092110184317060,LattesID_189095897739979
LattesID_4134189443162798,LattesID_189095897739979
LattesID_7757325848359242,LattesID_189095897739979
LattesID_4433845814879129,LattesID_189095897739979
LattesID_8131538515286176,LattesID_189095897739979
LattesID_1946425348863220,LattesID_189095897739979
LattesID_1487995477980653,LattesID_189095897739979
LattesID_9890253530896966,LattesID_189095897739979
LattesID_7977641264944574,LattesID_189095897739979
LattesID_4853538472620935,LattesID_189095897739979
LattesID_3174379330826051,LattesID_189095897739979
LattesID_1419163125369412,LattesID_189095897739979
LattesID_6161415350722441,LattesID_189095897739979
LattesID_9598457318220684,LattesID_189095897739979
LattesID_8869115413376282,LattesID_189095897739979
LattesID_3949512835562758,LattesID_189095897739979
LattesID_8141214390151766,LattesID_189095897739979
LattesID_6163607072712192,LattesID_189095897739979
LattesID_8974042560841794,LattesID_102488447573085
LattesID_6809456762457630,LattesID_102488447573085
LattesID_9576069122798320,LattesID_102488447573085
LattesID_7469949213441010,LattesID_102488447573085
LattesID_4304954704049203,LattesID_102488447573085
LattesID_7036512281372010,LattesID_102488447573085
LattesID_4935125244872307,LattesID_102488447573085
LattesID_1993105496058967,LattesID_102488447573085
LattesID_9296692109914264,LattesID_102488447573085
LattesID_2354231076192401,LattesID_133174080937000
LattesID_4222528053487725,LattesID_133174080937000
LattesID_6948514457760354,LattesID_197731060424158
LattesID_9839864113248300,LattesID_197731060424158
LattesID_1115176786417719,LattesID_197731060424158
LattesID_4647605186319705,LattesID_197731060424158
LattesID_1410312872958649,LattesID_197731060424158
LattesID_9251570598736484,LattesID_197731060424158
LattesID_8608211741158949,LattesID_197731060424158
LattesID_5661395483781554,LattesID_197731060424158
LattesID_1208170365798250,LattesID_197731060424158
LattesID_8183808838493450,LattesID_197731060424158
LattesID_370840039926164,LattesID_197731060424158
LattesID_4150075654918195,LattesID_197731060424158
